Word,Bengali Meaning,Synonyms,Antonyms,English Definition,Example Sentence,Unit (Lesson)
"Endow","দান করা / জন্মসূত্রে কোনো গুণে ভূষিত করা","Bestow, bless, gift, confer on, equip","Deprive, strip, divest, dispossess","Provide with a quality, ability, or asset by nature; bestow upon.","[Unit 5: Lesson 2]: They are endowed with reason and conscience and should act towards one another in the spirit of brotherhood.
[Unit 5: Human Rights: Civil Freedoms]: They are endowed with reason and conscience and should act towards one another in the spirit of brotherhood.","Unit 5: Lesson 2 (Are We Aware of These Rights-II?)"
"Subject","পরাধীন করা / অনিচ্ছাসত্ত্বেও কোনো কিছুর মুখে ঠেলে দেওয়া","Expose to, treat with, lay open to, subjugate","Exempt, protect, shield, liberate","Cause or force someone or something to undergo a particular experience.","[Unit 5: Lesson 2]: - Article 5: No one shall be subjected to torture or to cruel, inhuman or degrading treatment or punishment.
[Unit 5: Human Rights: Civil Freedoms]: No one shall be subjected to arbitrary arrest, detention or exile.","Unit 5: Lesson 2 (Are We Aware of These Rights-II?)"
"Circumstance","পরিস্থিতি / অবস্থা / ঘটনাচক্র","Situation, condition, state of affairs, context, factor","Certainty, inevitability","A fact or condition connected with or relevant to an event or action.","[Unit 5: Lesson 3]: The following text has extracts from the Universal Declaration of Human Rights and is about health and education: Article 25: (1) Everyone has the right to a standard of living adequate for the health and well-being of oneself and of one's family, including food, clothing, housing and medical care and necessary social services, and the right to security in the event of unemployment, sickness, disability, widowhood, old age or other lack of livelihood in circumstances beyond his control.
[Unit 5: Human Rights: Health and Education]: In the event of unemployment, sickness, disability, widowhood, old age or other lack of livelihood in circumstances beyond his control.","Unit 5: Lesson 3 (Rights to Health and Education)"
"Disability","শারীরিক বা মানসিক অক্ষমতা","Incapability, impairment, handicap, physical limitation","Ability, fitness, capability, strength","A physical or mental condition that limits a person's movements, senses, or activities.","[Unit 5: Lesson 3]: The following text has extracts from the Universal Declaration of Human Rights and is about health and education: Article 25: (1) Everyone has the right to a standard of living adequate for the health and well-being of oneself and of one's family, including food, clothing, housing and medical care and necessary social services, and the right to security in the event of unemployment, sickness, disability, widowhood, old age or other lack of livelihood in circumstances beyond his control.
[Unit 5: Human Rights: Health and Education]: Right to security in the event of unemployment, sickness, disability, widowhood, old age.","Unit 5: Lesson 3 (Rights to Health and Education)"
"Formulate","যথাযথভাবে প্রকাশ করা / প্রণয়ন করা","Systematize, devise, draft, construct, frame","Disorganize, dismantle, ruin","Create or prepare methodically; express systematically in words.","[Unit 5: Lesson 3]: Which organization has formulated this declaration?
[Unit 5: Human Rights: Health and Education]: Which organization has formulated this declaration?","Unit 5: Lesson 3 (Rights to Health and Education)"
"Intention","অভিপ্রায় / উদ্দেশ্য / সংকল্প","Aim, purpose, goal, objective, design, intent","Accident, chance, coincidence","A thing intended; an aim or plan.","[Unit 5: Lesson 3]: What do you know about the intentions of the UN regarding the declaration?
[Unit 5: Human Rights: Health and Education]: What do you know about the intentions of the UN regarding the declaration?","Unit 5: Lesson 3 (Rights to Health and Education)"
"Strengthen","শক্তিশালী করা / সুদৃঢ় করা","Toughen, bolster, reinforce, solidify, intensify","Weaken, undermine, diminish, enfeeble","Make or become stronger in power, quality, or effect.","[Unit 5: Lesson 3]: (2) Education shall be directed to the full development of the human personality and to the strengthening of respect for human rights and fundamental freedoms.
[Unit 5: Human Rights: Health and Education]: And to the strengthening of respect for human rights and fundamental freedoms.","Unit 5: Lesson 3 (Rights to Health and Education)"
"Unemployment","বেকারত্ব / কর্মহীনতা","Joblessness, redundancy, out of work, worklessness","Employment, work, occupation","The state of being unemployed or having no paid employment.","[Unit 5: Lesson 3]: The following text has extracts from the Universal Declaration of Human Rights and is about health and education: Article 25: (1) Everyone has the right to a standard of living adequate for the health and well-being of oneself and of one's family, including food, clothing, housing and medical care and necessary social services, and the right to security in the event of unemployment, sickness, disability, widowhood, old age or other lack of livelihood in circumstances beyond his control.
[Unit 5: Human Rights: Health and Education]: Right to security in the event of unemployment, sickness, disability, widowhood, old age.","Unit 5: Lesson 3 (Rights to Health and Education)"
"Calves","পায়ের পেছনের মাংসপেশি / পায়ের ডিম","Lower legs, leg muscles, hind limbs","Upper body, torso","The fleshy back parts of the human leg below the knee.","[Unit 5: Lesson 4]: (equivalent of 50 kg) and a quarter on my back; have to stoop much and creep through water, which is frequently up to the calves of my legs.
[Unit 5: Human Rights: Coal Miners]: Have to stoop much and creep through water, which is frequently up to the calves of my legs.","Unit 5: Lesson 4 (Coal Miners)"
"Docking","বেতন বা মজুরি কেটে নেওয়া / কর্তন","Deduction, cut, withholding of wages, docking of pay","Bonus, addition, enhancement","Deducting money from a worker's wages or pay as a penalty or fine.","[Unit 5: Lesson 4]: Unit Five: Human Rights | Lesson 4: Coal Miners A.
[Unit 5: Human Rights: Coal Miners]: Docking: the severe penalty of deducting pay imposed on child coal miners.","Unit 5: Lesson 4 (Coal Miners)"
"Interviewed","সাক্ষাৎকার নিয়েছিল / জিজ্ঞাসাবাদ করেছিল","Questioned, queried, interrogated, consulted","Ignored, dismissed, overlooked","Asked questions in an interview to obtain factual testimonies.","[Unit 5: Lesson 4]: During his investigation, he interviewed a large number of people working in Britain's factories and mines.
[Unit 5: Human Rights: Coal Miners]: During his investigation, he interviewed a large number of people working in Britain's factories and mines.","Unit 5: Lesson 4 (Coal Miners)"
"Investigate","তদন্ত করা / পুঙ্খানুপুঙ্খ অনুসন্ধান করা","Examined, probed, scrutinized, inspected, explored","Overlooked, disregarded, neglected","Carry out a systematic or formal inquiry to discover and examine the facts.","[Unit 5: Lesson 4]: We will read three testimonies collected by Lord Ashley's commission that investigated a serious accident at Huskar Colliery, Yorkshire in 1838.
[Unit 5: Human Rights: Coal Miners]: Lord Ashley's commission that investigated a serious accident at Huskar Colliery, Yorkshire in 1838.","Unit 5: Lesson 4 (Coal Miners)"
"Lassies","কিশোরী / অল্পবয়সী তরুণী শ্রমিক","Girls, maidens, young women, damsels","Boys, youths, men","Young girls or young unmarried women.","[Unit 5: Lesson 4]: I do not like the work, nor do the lassies, but they are made to like it.
[Unit 5: Human Rights: Coal Miners]: I do not like the work, nor do the lassies, but they are made to like it.","Unit 5: Lesson 4 (Coal Miners)"
"Pit","কয়লাখনির সুড়ঙ্গ বা গহ্বর","Coal mine, shaft, hole, excavation, quarry","Mound, hill, summit","A coal mine, including the shafts and subterranean workings.","[Unit 5: Lesson 4]: Three testimonies gathered by Ashley's Mines Commission are given below: Sarah Goodier, Age: 8 years: ""I'm a trapper in the Gawber pit.
[Unit 5: Human Rights: Coal Miners]: I would like to be at school far better than in the pit.","Unit 5: Lesson 4 (Coal Miners)"
"Scared","ভীত / আতঙ্কিত","Terrified, frightened, alarmed, panicked, horrified","Brave, fearless, courageous, bold","Fearful; frightened of something dangerous or terrifying.","[Unit 5: Lesson 4]: It does not tire me, but I have a trap without a light and I'm scared.
[Unit 5: Human Rights: Coal Miners]: I have a trap without a light and I'm scared.","Unit 5: Lesson 4 (Coal Miners)"
"Weave","বোনা / কাপড় বোনা","Interlace, knit, entwine, braid, fabricate","Unweave, unravel, dismantle","Form fabric or a web by interlacing long threads passing in one direction with others at a right angle.","[Unit 5: Lesson 4]: Mary Barrett, Age: 14 years: ""I have worked down in pit for five years; my father works in the next pit; I have 12 brothers and sisters—all of them but one live at home; they weave, and wind, and hurry; one of them can read, none of the rest can, or write; they never went to the day-school, but three of them go to Sunday-school; I come down in the pit at seven in the morning; I do not like working in the pit, but I am obliged to get a living; I work always without stockings, or shoes, or trousers; I wear nothing but my chemise; I have to go up and work with the men.
[Unit 5: Human Rights: Coal Miners]: All of them but one live at home; they weave, and wind, and hurry.","Unit 5: Lesson 4 (Coal Miners)"
"Wrought","কঠোর শ্রমে নিযুক্ত / রূপদান করা","Worked, employed, fashioned, crafted, laboured","Idle, unworked, raw","Put to work; shaped or created with intensive labor.","[Unit 5: Lesson 4]: ] Isabella Read, Age: 12 years: ""I am wrought with sister and brother; it is very sore work; cannot say how many rakes or journeys I make from pit's bottom to wall face and back, it may be about 30 or 25 on average; the distance varies from 100 to 250 fathom (1 fathom = 1.
[Unit 5: Human Rights: Coal Miners]: I am wrought with sister and brother; it is very sore work.","Unit 5: Lesson 4 (Coal Miners)"
"Accurate","সঠিক / নির্ভুল / যথার্থ","Correct, exact, precise, faultless, error-free","Inaccurate, wrong, incorrect, imprecise","Correct in all details; exact and free from error.","[Unit 5: Lesson 5]: I have no accurate knowledge of my age, never having seen any authentic record containing it.
[Unit 5: Human Rights: Frederick Douglass]: I have no accurate knowledge of my age, never having seen any authentic record containing it.","Unit 5: Lesson 5 (Frederick Douglass)"
"Burial","দাফন / অন্ত্যেষ্টিক্রিয়া","Interment, entombment, funeral, sepulture","Exhumation, disinterment","The action or practice of burying a dead body.","[Unit 5: Lesson 5]: I was not allowed to be present during her illness, at her death, or burial.
[Unit 5: Human Rights: Frederick Douglass]: I was not allowed to be present during her illness, at her death, or burial.","Unit 5: Lesson 5 (Frederick Douglass)"
"Custom","প্রথা / সামাজিক রীতি","Tradition, practice, habit, convention, ritual","Innovation, departure, irregularity","A widely accepted way of behaving or doing something that is specific to a particular society.","[Unit 5: Lesson 5]: It is a common custom in the part of Maryland from which I ran away, to part children from their mothers at a very early age.
[Unit 5: Human Rights: Frederick Douglass]: It is a common custom in the part of Maryland from which I ran away, to part children from their mothers at a very early age.","Unit 5: Lesson 5 (Frederick Douglass)"
"Darker complexion","গাঢ় ত্বকের বর্ণ / কৃষ্ণাঙ্গ গায়ের রঙ","Dusky skin, brown-skinned, deep pigmentation","Fair complexion, light-skinned, pale skin","Skin tone that has deeper natural pigmentation.","[Unit 5: Lesson 5]: Unit Five: Human Rights | Lesson 5: Frederick Douglass A.
[Unit 5: Human Rights: Frederick Douglass]: My mother was of a darker complexion than either my grandmother or grandfather.","Unit 5: Lesson 5 (Frederick Douglass)"
"Deemed","বিবেচনা করেছিল / গণ্য করেছিল","Considered, judged, regarded, viewed, reckoned","Disregarded, ignored, dismissed","Regarded or considered in a specified way.","[Unit 5: Lesson 5]: He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.
[Unit 5: Human Rights: Frederick Douglass]: He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.","Unit 5: Lesson 5 (Frederick Douglass)"
"Evidence","প্রমাণ / সাক্ষ্য","Testimony, confirmation, proof, verification, attestation","Disproof, contradiction, refutation","The available body of facts or information indicating whether a belief or proposition is true.","[Unit 5: Lesson 5]: He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.
[Unit 5: Human Rights: Frederick Douglass]: He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.","Unit 5: Lesson 5 (Frederick Douglass)"
"Ignorant","অজ্ঞ / অন্ধকারে রাখা / অনবগত","Uneducated, uninformed, unaware, unenlightened","Knowledgeable, educated, informed, enlightened","Lacking knowledge or awareness in general; uneducated.","[Unit 5: Lesson 5]: By far the larger part of the slaves know as little of their ages as horses know of theirs, and it is the wish of most masters within my knowledge to keep their slaves thus ignorant.
[Unit 5: Human Rights: Frederick Douglass]: It is the wish of most masters within my knowledge to keep their slaves thus ignorant.","Unit 5: Lesson 5 (Frederick Douglass)"
"Improper","অনুচিত / অন্যায় / অসঙ্গত","Inappropriate, unsuitable, unbecoming, unfitting","Proper, suitable, correct, appropriate","Not in accordance with accepted rules of social behavior or morality.","[Unit 5: Lesson 5]: He deemed all such inquiries on the part of a slave improper and impertinent, and evidence of a restless spirit.
[Unit 5: Human Rights: Frederick Douglass]: He deemed all such inquiries on the part of a slave improper and impertinent.","Unit 5: Lesson 5 (Frederick Douglass)"
"Inquiries","অনুসন্ধান / জিজ্ঞাসা / প্রশ্ন","Questions, investigations, probes, queries, inquiries","Answers, replies, responses","Acts of asking for information or investigating a matter.","[Unit 5: Lesson 5]: I was not allowed to make any inquiries of my master concerning it.
[Unit 5: Human Rights: Frederick Douglass]: I was not allowed to make any inquiries of my master concerning it.","Unit 5: Lesson 5 (Frederick Douglass)"
"Separation","বিচ্ছেদ / বিচ্ছিন্নকরণ","Division, disconnection, detachment, parting, isolation","Union, connection, reunion, attachment","The action or state of moving or being moved apart.","[Unit 5: Lesson 5]: For what this separation is done, I do not know, unless it be to hinder the development of the child's affection toward its mother, and to blunt and destroy the natural affection of the mother for the child.
[Unit 5: Human Rights: Frederick Douglass]: For what this separation is done, I do not know, unless it be to hinder the development of the child's affection toward its mother.","Unit 5: Lesson 5 (Frederick Douglass)"
"Soothing","শান্তিদায়ক / আরামদায়ক / সান্ত্বনাকর","Calming, comforting, relaxing, tranquilizing, pacifying","Agitating, disturbing, jarring, irritating","Having a gently calming or comforting effect.","[Unit 5: Lesson 5]: Never having enjoyed, to any considerable extent, her soothing presence, her tender and watchful care, I received the tidings of her death with much the same emotions I should have probably felt at the death of a stranger.
[Unit 5: Human Rights: Frederick Douglass]: Never having enjoyed, to any considerable extent, her soothing presence, her tender and watchful care.","Unit 5: Lesson 5 (Frederick Douglass)"
"Whipping","চাবুক মারা / নির্মম বেত্রাঘাত","Beating, flogging, lashing, scourging, thrashing","Gentle touch, reward","A punishment or beating with a whip or lash.","[Unit 5: Lesson 5]: She was a field hand, and a whipping is the penalty of not being in the field at sunrise, unless a slave has special permission from his or her master to the contrary—a permission which they seldom get, and one that gives to him that gives it the proud name of being a kind master.
[Unit 5: Human Rights: Frederick Douglass]: She was a field hand, and a whipping is the penalty of not being in the field at sunrise.","Unit 5: Lesson 5 (Frederick Douglass)"
"Whispered","ফিসফিস করে বলেছিল / গোপনে রটনা করেছিল","Murmured, hissed, muttered, breathed softly","Shouted, yelled, bellowed","Spoke very softly using one's breath without one's vocal cords.","[Unit 5: Lesson 5]: The opinion was also whispered that my master was my father, but of the correctness of this opinion, I know nothing; the means of knowing was withheld from me.
[Unit 5: Human Rights: Frederick Douglass]: The opinion was also whispered that my master was my father, but of the correctness of this opinion, I know nothing.","Unit 5: Lesson 5 (Frederick Douglass)"
"Abuse","অবমাননা","Misbehavior","Appreciate, compliment","Improper, hurtful, or wrongful treatment or speech toward a person.","When she was eight, she became a victim of abuse by someone close to her mother.","Unit 11: Lesson 1 (Situations of Conflict)"
"Cure","সুস্থ করা","Heal, repair, recover","Exacerbate","Relieve a person of illness or distress; restore to health.","There are some millionaires With money they can't use Their wives run round like banshees Their children sing the blues They've got expensive doctors To cure their hearts of stone.","Unit 11: Lesson 1 (Situations of Conflict)"
"Decade","দশক","","","A period of ten years.","Auden: I sit on one of the dives On Fifty-second Street Uncertain and afraid As the clever hopes expire Of a low dishonest decade: Waves of anger and fear Circulate over the bright And darkened lands of the earth, Obsessing our private lives; The unmentionable odour of death Offends the September night.","Unit 11: Lesson 1 (Situations of Conflict)"
"Depressed","বিষণ্ণ","Sad, bored","Happy","In a state of general unhappiness, sorrow, or despondency.","Cruelties of conflict affect people in different ways.","Unit 11: Lesson 1 (Situations of Conflict)"
"Dive","ছোট পানশালা, ঠেকি","Bar, pub, tavern","","A small, shabby, or disreputable bar or establishment.","Auden: I sit on one of the dives On Fifty-second Street Uncertain and afraid As the clever hopes expire Of a low dishonest decade: Waves of anger and fear Circulate over the bright And darkened lands of the earth, Obsessing our private lives; The unmentionable odour of death Offends the September night.","Unit 11: Lesson 1 (Situations of Conflict)"
"Expensive","ব্যয়বহুল","Costly, valuable","Inexpensive, cheap","Costing a lot of money; high-priced.","There are some millionaires With money they can't use Their wives run round like banshees Their children sing the blues They've got expensive doctors To cure their hearts of stone.","Unit 11: Lesson 1 (Situations of Conflict)"
"Humour","ব্যঙ্গকৌতুক","Satire, comedy, comic","Seriousness","The quality of being amusing or satirical.","Her poems often deal with serious matters but they also use humour and give out hope.","Unit 11: Lesson 1 (Situations of Conflict)"
"Ironically","বিদ্রূপাত্মকভাবে","Jokingly, satirically","Seriously, sincerely","In an ironic manner; expressing meaning by using language of the opposite sense.","You will see that she has used these words ironically to bring home the message that no one should be alone, that human society depends on healthy relationships among its members.","Unit 11: Lesson 1 (Situations of Conflict)"
"Obsess","প্রভাবিত করা","Influence, impress","","Preoccupy or fill the mind of someone continually and deeply.","Auden: I sit on one of the dives On Fifty-second Street Uncertain and afraid As the clever hopes expire Of a low dishonest decade: Waves of anger and fear Circulate over the bright And darkened lands of the earth, Obsessing our private lives; The unmentionable odour of death Offends the September night.","Unit 11: Lesson 1 (Situations of Conflict)"
"Odour","গন্ধ, ঘ্রাণ","Smell, scent","","A distinctive smell, especially an unpleasant one.","Auden: I sit on one of the dives On Fifty-second Street Uncertain and afraid As the clever hopes expire Of a low dishonest decade: Waves of anger and fear Circulate over the bright And darkened lands of the earth, Obsessing our private lives; The unmentionable odour of death Offends the September night.","Unit 11: Lesson 1 (Situations of Conflict)"
"Parental","পিতা-মাতা সংক্রান্ত","","Filial","Relating to a parent or parents.","Cruelties of conflict affect people in different ways.","Unit 11: Lesson 1 (Situations of Conflict)"
"Praised","প্রশংসিত","Admired, appreciated","Condemned, criticized","Acclaimed or admired for qualities or achievements.","She was a popular poet praised for the way she incorporated social and political themes in her poems without compromising their poetic and stylistic qualities.","Unit 11: Lesson 1 (Situations of Conflict)"
"Shriek","তীক্ষ্ণ চিৎকার করা","Scream","","Utter a high-pitched piercing cry of terror, pain, or anguish.","Cruelties of conflict affect people in different ways.","Unit 11: Lesson 1 (Situations of Conflict)"
"Victim","শিকার","Prey","","A person harmed, injured, or killed as a result of a crime, conflict, or calamity.","When she was eight, she became a victim of abuse by someone close to her mother.","Unit 11: Lesson 1 (Situations of Conflict)"
"Wail","ক্রন্দন, হাহাকার","Mourn, weep, lament","Laughter","A prolonged high-pitched cry of pain, grief, or lamentation.","Cruelties of conflict affect people in different ways.","Unit 11: Lesson 1 (Situations of Conflict)"
"Ankle","গোড়ালি","Heel","","The joint connecting the foot with the leg.","The trucks ground up and away heading out of it all and the peasants plodded along in the ankle deep dust.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Backward","পশ্চাৎ","Behindhand","Forward","Directed behind or to the rear; towards the back.","""Thank you,"" he said and got to his feet, swayed from side to side and then sat down backwards in the dust.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Beyond","কোনো কিছু ছাড়িয়ে","Above","Inside","At or to the further side of; further away.","It was my business to cross the bridge, explore the bridgehead beyond and find out to what point the enemy had advanced.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Cart","মালবাহী গাড়ি/ট্রলি","Cab","","An open horse- or mule-drawn vehicle for carrying loads.","There was a pontoon bridge across the river and carts, trucks, and men, women and children were crossing it.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Certainly","নিঃসন্দেহে","Definitely","Uncertainly","Undoubtedly; definitely; without question.","""Yes, certainly they'll fly.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Dull","নিষ্প্রভ, নিরানন্দ","Dilatory, faded","","Lacking interest, brightness, or enthusiasm; lifeless.","Warm up activity: Think and note down the kind of problems a war can create for human beings and other living things.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Dusty","ধূলিমলিন","Dirty","Bright, clean","Covered with, full of, or resembling dust.","Read the story below for a clear and critical understanding of what it is really about and then answer the questions that follow: An old man with steel rim spectacles and very dusty clothes sat by the side of the road.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Explain","ব্যাখ্যা করা","Clarify","","Make an idea, situation, or problem clear to someone by describing it in detail.","""I was taking care of animals,"" he explained.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Explore","ভ্রমণ/উদ্ঘাটন করা","Visit","","Travel through an unfamiliar area to learn about it or inspect it.","It was my business to cross the bridge, explore the bridgehead beyond and find out to what point the enemy had advanced.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Fascist","ফ্যাসিবাদের সমর্থক","","","An advocate or follower of authoritarian and totalitarian fascism.","It was Easter Sunday and the Fascists were advancing toward the Ebro.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Hurry","তাড়াহুড়ো করা","Rush, agitation","Procrastinate","Move or act with great haste or speed.","I asked, watching the far end of the bridge where a few last carts were hurrying down the slope of the bank.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Mysterious","রহস্যজনক, রহস্যময়","Obscure, unknown","","Difficult or impossible to understand, explain, or identify.","I was watching the bridge and the African looking country of the Ebro Delta and wondering how long now it would be before we would see the enemy, and listening all the while for the first noises that would signal that ever mysterious event called contact, and the old man still sat there.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Peasant","ক্ষুদ্র কৃষক, অল্প জমি আছে এমন কৃষক","Farmer, tiller","","A poor farmer of low social status who owns or rents a small piece of land.","The trucks ground up and away heading out of it all and the peasants plodded along in the ankle deep dust.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Plod","ধীরে তবে বড় ধাপ ফেলে হাঁটা","Stalk","","Walk doggedly and slowly with heavy steps.","Warm up activity: Think and note down the kind of problems a war can create for human beings and other living things.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Quite","বেশ, অনেক, একেবারে, সম্পূর্ণ","Entirely, completely","Slightly","To the utmost or most absolute extent or degree; completely.","""Oh,"" I said, not quite understanding.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Rimmed","কোনোকিছুর বৃত্তাকার প্রান্ত-বিশিষ্ট","","","Provided with or having a circular rim or border.","He did not look like a shepherd nor a herdsman and I looked at his black dusty clothes and his gray dusty face and his steel rimmed spectacles and said, ""What animals were they?""","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Stagger","টলমলভাবে চলা","Vacillate","","Walk or move unsteadily, as if about to fall.","The mule-drawn carts staggered up the steep bank from the bridge with soldiers helping push against the spokes of the wheels.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"State","বর্ণনা করা","Describe","","Express something definitely or clearly in speech or writing.","""No,"" he said, ""only the animals I stated.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Steep","ঢালু বা খাড়া হয়ে উঠেছে এমন","Sharp, vertical","Gradual","Rising or falling sharply; nearly perpendicular.","The mule-drawn carts staggered up the steep bank from the bridge with soldiers helping push against the spokes of the wheels.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Sway","দোলানো, আন্দোলিত হওয়া/করা","Wave, oscillate","","Move or cause to move slowly or unsteadily from side to side.","""Thank you,"" he said and got to his feet, swayed from side to side and then sat down backwards in the dust.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Tiredly","ক্লান্তভাবে, ক্লান্তিকরভাবে","Wearyingly","Refreshingly","In a tired or fatigued manner.","He looked at me very blankly and tiredly, and then said, having to share his worry with someone, ""The cat will be all right, I am sure.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Towards","দিকে","Directed to","","In the direction of someone or something.","""Towards Barcelona,"" I told him.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Wonder","বিস্ময়/বিস্ময়াভিভূত হয়ে ভাবতে থাকা","Astonishment, marvel","","A feeling of amazement and admiration, or a state of curious questioning.","I was watching the bridge and the African looking country of the Ebro Delta and wondering how long now it would be before we would see the enemy, and listening all the while for the first noises that would signal that ever mysterious event called contact, and the old man still sat there.","Unit 11: Lesson 2 (The Old Man at the Bridge)"
"Achievement","অর্জন, কৃতিত্ব","Attainment, gaining","Failure","A thing done successfully, typically by effort, courage, or skill.","In the future if I grow up, and in Gaza it's an achievement to grow up, because death is standing at your doorstep, I want to be a children's caretaker and defend their rights; because I feel that the children of Palestine are born as old people, a kid can be 6 years old and yet supporting a family.","Unit 11: Lesson 3 (Stories From Gaza)"
"Doorstep","দোরগোড়া","Gateway, entrance","","A step leading up to the outer door of a building; very close proximity.","In the future if I grow up, and in Gaza it's an achievement to grow up, because death is standing at your doorstep, I want to be a children's caretaker and defend their rights; because I feel that the children of Palestine are born as old people, a kid can be 6 years old and yet supporting a family.","Unit 11: Lesson 3 (Stories From Gaza)"
"Empty","খালি","Bare, unoccupied","Occupied","Containing nothing; not filled or occupied.","I can't not see the poverty, siege and famine, especially when all Gaza city flooded into Al-Areesh and emptied it from all goods in two hours.","Unit 11: Lesson 3 (Stories From Gaza)"
"Escape","পলায়ন করা","Flee, make off","Face something","Break free from confinement or danger; run away.","That's why I'm now escaping outside the house all the time, because of the many flies.","Unit 11: Lesson 3 (Stories From Gaza)"
"Mature","পূর্ণবয়স্ক","Adult, grown-up","Immature","Fully developed physically and mentally; behaving in an adult way.","My friends changed, and I made older and more mature ones.","Unit 11: Lesson 3 (Stories From Gaza)"
"Rights","অধিকার","Claim","","Moral or legal entitlements to have or obtain something or to act in a certain way.","In the future if I grow up, and in Gaza it's an achievement to grow up, because death is standing at your doorstep, I want to be a children's caretaker and defend their rights; because I feel that the children of Palestine are born as old people, a kid can be 6 years old and yet supporting a family.","Unit 11: Lesson 3 (Stories From Gaza)"
"Scare","আতঙ্কিত করা","Terrify, horrify","Fearless","Cause great fear or alarm in someone.","I'm most scared for my older brothers.","Unit 11: Lesson 3 (Stories From Gaza)"
"Sewage","নর্দমার ময়লা","Garbage, trash","","Waste water and excrement conveyed in sewers.","I go back to the reality of Gaza: the dirty market, overflowing sewage, the cans, and what's on top of the carts, the suffocating smell, and the silent people who can't speak.","Unit 11: Lesson 3 (Stories From Gaza)"
"Sissy","মাইমুষো লোক / দুর্বলচিত্ত লোক","Weakling","Bold person","A person regarded as weak, cowardly, or unmanly.","I can't tell anyone about my fear so they don't call me a wimp or a sissy.","Unit 11: Lesson 3 (Stories From Gaza)"
"Support","সমর্থন করা","Assist, help, aid","Oppose","Give assistance, encouragement, or financial approval to.","In the future if I grow up, and in Gaza it's an achievement to grow up, because death is standing at your doorstep, I want to be a children's caretaker and defend their rights; because I feel that the children of Palestine are born as old people, a kid can be 6 years old and yet supporting a family.","Unit 11: Lesson 3 (Stories From Gaza)"
"Wimp","ভীতু","Coward, crybaby","Brave","A weak, cowardly, or timid person.","I can't tell anyone about my fear so they don't call me a wimp or a sissy.","Unit 11: Lesson 3 (Stories From Gaza)"
"Worried","চিন্তিত","Anxious, concerned","Unconcerned","Feeling anxious and troubled about actual or potential problems.","Yasmeen Katbeh, Born 1996, Ash Sheikh Radwan: When the war started, my mum, my brothers and sisters and I were in Russia, which made me always worried about Dad.","Unit 11: Lesson 3 (Stories From Gaza)"
"Collapse","ভেঙে পড়া","Breakdown, downfall","Success","A sudden failure, breakdown, or falling down.","Read the following poem and try to understand the meaning.","Unit 11: Lesson 4 (Peace in Literature)"
"Earnestness","আন্তরিকতা","Determination, devotion","Indifference","Sincere and intense conviction or seriousness.","Take of this grain, which in my garden grows, And grows for you; Make bread of it: and that repose And peace, which ev'ry where With so much earnestness you do pursue, Is only there.","Unit 11: Lesson 4 (Peace in Literature)"
"Exist","বিদ্যমান থাকা","Endure, prevail","Depart","Have objective reality or active being; survive.","Yes, and how many years must a mountain exist Before it is washed to the sea?","Unit 11: Lesson 4 (Peace in Literature)"
"Foe","শত্রু, প্রতিপক্ষ","Enemy, opponent","Friend","An enemy or opponent in a war, battle, or dispute.","He sweetly lived; yet sweetness did not save His life from foes.","Unit 11: Lesson 4 (Peace in Literature)"
"Invader","আক্রমণকারী","Attacker, intruder","","A person or group that invades a country, territory, or home by force.","Read the following poem and try to understand the meaning.","Unit 11: Lesson 4 (Peace in Literature)"
"Mirth","আনন্দ, স্ফূর্তি","Hilarity, great joy","Depression, gloom","Amusement, especially as expressed in laughter and celebration.","It prospered strangely, and did soon disperse Through all the earth: For they that taste it do rehearse That virtue lies therein; A secret virtue, bringing peace and mirth By flight of sin.","Unit 11: Lesson 4 (Peace in Literature)"
"Pretend","ভান করা","Feign, fake","Be honest","Behave so as to make it appear that something is the case when in fact it is not.","Yes, and how many times can a man turn his head And pretend that he just doesn't see?","Unit 11: Lesson 4 (Peace in Literature)"
